dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,type,hr
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,daily,
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,daily,
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,daily,
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,daily,
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,daily,
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,daily,
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,daily,
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,daily,
2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822,daily,
2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321,daily,
2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263,daily,
2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,daily,
2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406,daily,
2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,daily,
2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248,daily,
2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,daily,
2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,daily,
2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,daily,
2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,daily,
2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,daily,
2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,daily,
2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,daily,
2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986,daily,
2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416,daily,
2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,daily,
2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,daily,
2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431,daily,
2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167,daily,
2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098,daily,
2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,daily,
2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,daily,
2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360,daily,
2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,daily,
2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550,daily,
2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708,daily,
2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005,daily,
2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,daily,
2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712,daily,
2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,daily,
2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605,daily,
2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538,daily,
2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746,daily,
2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472,daily,
2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589,daily,
2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913,daily,
2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815,daily,
2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115,daily,
2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2475,daily,
2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927,daily,
2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635,daily,
2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812,daily,
2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107,daily,
2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450,daily,
2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917,daily,
2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807,daily,
2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461,daily,
2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969,daily,
2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,2402,daily,
2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,1446,daily,
2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851,daily,
2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134,daily,
2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685,daily,
2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944,daily,
2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077,daily,
2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,605,daily,
2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872,daily,
2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133,daily,
2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891,daily,
2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,623,daily,
2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,1977,daily,
2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,2132,daily,
2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,2417,daily,
2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,2046,daily,
2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056,daily,
2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,2192,daily,
2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744,daily,
2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,3239,daily,
2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,3117,daily,
2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,2471,daily,
2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077,daily,
2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,2703,daily,
2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121,daily,
2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,1865,daily,
2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210,daily,
2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,2496,daily,
2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,1693,daily,
2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,2028,daily,
2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,2425,daily,
2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,1536,daily,
2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685,daily,
2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,2227,daily,
2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,2252,daily,
2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3249,daily,
2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115,daily,
2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1795,daily,
2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808,daily,
2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,3141,daily,
2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471,daily,
2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,2455,daily,
2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,2895,daily,
2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,3348,daily,
2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,2034,daily,
2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,2162,daily,
2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,3267,daily,
2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126,daily,
2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,795,daily,
2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744,daily,
2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,3429,daily,
2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204,daily,
2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,3944,daily,
2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,4189,daily,
2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683,daily,
2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036,daily,
2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191,daily,
2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073,daily,
2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,4400,daily,
2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3872,daily,
2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,4058,daily,
2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,4595,daily,
2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,5312,daily,
2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,3351,daily,
2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401,daily,
2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,4451,daily,
2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633,daily,
2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,4433,daily,
2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,4608,daily,
2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714,daily,
2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,4333,daily,
2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,4362,daily,
2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4803,daily,
2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,4182,daily,
2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4864,daily,
2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,4105,daily,
2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409,daily,
2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,4553,daily,
2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958,daily,
2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123,daily,
2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3855,daily,
2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,4575,daily,
2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917,daily,
2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,5805,daily,
